R2 score

+-------------------+------------------+--------------+-------------+---------------+
| обучение образцы  | тестовые образцы | Угол нашивки |  Layer Size | Number Layers |
|        -0.00      |       -0.09      |         90   |        21   |       56      |
|        -0.00      |       -0.08      |          0   |        21   |       56      |
|        -0.00      |       -0.11      |         90   |        21   |       57      |
|        -0.04      |       -0.22      |          0   |        21   |       57      |
|        -0.00      |       -0.09      |         90   |        21   |       58      |
|        -0.00      |       -0.12      |          0   |        21   |       58      |
|        -0.02      |       -0.02      |         90   |        21   |       59      |
|        -0.03      |       -0.21      |          0   |        21   |       59      |
|        +1.00      |       -1.72      |         90   |        22   |       10      |
|        +0.99      |       -2.43      |          0   |        22   |       10      |
|        +1.00      |       -1.96      |         90   |        22   |       11      |
|        +0.97      |       -1.60      |          0   |        22   |       11      |
|        +0.99      |       -1.52      |         90   |        22   |       12      |
|        +0.99      |       -1.47      |          0   |        22   |       12      |
|        +1.00      |       -2.03      |         90   |        22   |       13      |
|        +0.99      |       -1.97      |          0   |        22   |       13      |
|        +0.98      |       -1.16      |         90   |        22   |       14      |
|        +0.99      |       -1.04      |          0   |        22   |       14      |
|        +0.99      |       -1.95      |         90   |        22   |       15      |
|        +0.98      |       -1.94      |          0   |        22   |       15      |
|        +0.99      |       -2.02      |         90   |        22   |       16      |
|        +0.99      |       -2.03      |          0   |        22   |       16      |
|        +0.98      |       -1.94      |         90   |        22   |       17      |
|        +0.97      |       -1.10      |          0   |        22   |       17      |
|        +1.00      |       -1.72      |         90   |        22   |       18      |
|        +0.99      |       -1.23      |          0   |        22   |       18      |
|        +0.99      |       -1.39      |         90   |        22   |       19      |
|        +0.99      |       -1.08      |          0   |        22   |       19      |
|        +0.96      |       -1.36      |         90   |        22   |       20      |
|        +0.99      |       -1.01      |          0   |        22   |       20      |
|        +0.99      |       -1.43      |         90   |        22   |       21      |
|        +0.98      |       -1.38      |          0   |        22   |       21      |
|        +0.98      |       -1.91      |         90   |        22   |       22      |
|        +0.98      |       -1.61      |          0   |        22   |       22      |
|        +0.98      |       -1.93      |         90   |        22   |       23      |
|        +0.99      |       -1.30      |          0   |        22   |       23      |
|        +1.00      |       -2.72      |         90   |        22   |       24      |
|        +1.00      |       -1.27      |          0   |        22   |       24      |
|        +0.98      |       -2.77      |         90   |        22   |       25      |
|        +0.98      |       -1.73      |          0   |        22   |       25      |
|        +0.88      |       -1.71      |         90   |        22   |       26      |
|        +0.91      |       -1.11      |          0   |        22   |       26      |
|        +0.99      |       -2.05      |         90   |        22   |       27      |
|        +1.00      |       -1.39      |          0   |        22   |       27      |
|        -0.00      |       -0.07      |         90   |        22   |       28      |
|        -0.00      |       -0.08      |          0   |        22   |       28      |
|        +0.98      |       -1.87      |         90   |        22   |       29      |
|        +0.79      |       -0.94      |          0   |        22   |       29      |
|        +0.94      |       -1.32      |         90   |        22   |       30      |
|        +0.91      |       -2.79      |          0   |        22   |       30      |
|        +0.94      |       -1.48      |         90   |        22   |       31      |
